 Pressure(dbar)  Temperature(°C)  Salinity(PSU)
    1837.800049         3.233000      34.794998
    1862.800049         3.171000      34.792999
    1888.000000         3.100000      34.790001
    1912.800049         3.047000      34.787998
    1937.699951         3.004000      34.785999
    1962.800049         2.948000      34.783001
    1988.699951         2.899000      34.780998
            NaN              NaN            NaN
       0.200000        28.208000      33.867001
       0.900000        28.211000      33.865002
       2.100000        28.212999      33.863998
       2.800000        28.212000      33.865002
       3.700000        28.212999      33.867001
       4.900000        28.219000      33.862999
       6.100000        28.216999      33.865002
       7.000000        28.218000      33.863998
       7.800000        28.219000      33.862999
       9.000000        28.219000      33.863998
      10.200000        28.219000      33.863998
      15.000000        28.223000      33.862999
      24.900000        28.225000      33.863998
      35.200001        28.215000      33.865002
      45.400002        28.202000      33.868999
      55.400002        28.219999      33.882999
      65.199997        28.563999      34.168999
      75.900002        28.679001      34.332001
      85.199997        28.334000      34.464001
      95.099998        26.746000      34.331001
     105.500000        27.117001      34.808998
     115.300003        27.356001      35.167000
     125.300003        26.716000      35.216000
     135.500000        24.438000      34.887001
     145.399994        21.975000      34.599998
     155.199997        21.313000      34.861000
     165.399994        20.127001      34.792999
     175.699997        18.945000      34.834999
     185.100006        17.987000      34.838001
     195.699997        17.514999      35.053001
     213.800003        16.892000      35.053001
     237.600006        15.480000      34.988998
     262.700012        14.091000      34.987000
     287.700012        13.076000      34.993000
     313.899994        12.523000      35.015999
     337.700012        12.033000      35.028000
     362.899994        11.622000      35.030998
     388.100006        11.294000      35.034000
     413.100006        11.042000      35.034000
     437.700012        10.820000      35.034000
     462.700012        10.633000      35.035000
     487.700012        10.420000      35.035999
     513.000000        10.234000      35.032001
     537.799988         9.985000      35.027000
     562.700012         9.776000      35.023998
     588.299988         9.522000      35.014000
     612.599976         9.349000      35.007999
     637.599976         9.165000      35.002998
     662.500000         8.983000      34.998001
     687.700012         8.818000      34.993000
     712.900024         8.639000      34.987999
     738.099976         8.470000      34.983002
     763.099976         8.318000      34.979000
     787.900024         8.168000      34.973999
     812.900024         8.039000      34.971001
     837.700012         7.906000      34.967999
     862.799988         7.723000      34.963001
     888.200012         7.538000      34.958000
     913.200012         7.359000      34.952999
     938.700012         7.138000      34.945999
     962.500000         6.946000      34.938999
     987.599976         6.767000      34.932999
    1012.799988         6.599000      34.925999
    1038.000000         6.455000      34.921001
    1062.699951         6.343000      34.916000
    1087.599976         6.220000      34.910000
    1113.099976         6.101000      34.904999
    1138.400024         5.972000      34.900002
    1163.400024         5.851000      34.895000
    1188.300049         5.765000      34.893002
    1213.300049         5.670000      34.889000
    1238.099976         5.570000      34.886002
    1262.900024         5.463000      34.882000
    1287.800049         5.362000      34.877998
    1312.800049         5.263000      34.874001
    1337.800049         5.164000      34.870998
    1362.900024         5.067000      34.867001
    1388.699951         4.966000      34.863998
    1412.500000         4.868000      34.860001
    1437.599976         4.754000      34.855999
    1462.699951         4.651000      34.852001
    1487.699951         4.568000      34.849998
    1512.599976         4.477000      34.845001
    1537.699951         4.369000      34.841000
    1562.599976         4.261000      34.837002
    1587.800049         4.147000      34.833000
    1612.699951         4.023000      34.827000
    1637.500000         3.937000      34.824001
    1662.800049         3.846000      34.820000
    1688.000000         3.768000      34.817001
    1713.099976         3.664000      34.813000
    1737.800049         3.552000      34.807999
    1762.900024         3.468000      34.805000
    1788.300049         3.391000      34.801998
    1813.000000         3.305000      34.798000
    1838.099976         3.235000      34.796001
    1863.800049         3.151000      34.792999
    1887.900024         3.096000      34.790001
    1912.900024         3.029000      34.786999
    1938.000000         2.974000      34.785000
    1963.099976         2.919000      34.782001
    1988.099976         2.858000      34.779999
    2009.300049         2.810000      34.778000
       0.300000        28.198000      33.720001
       1.100000        28.208000      33.713001
       1.900000        28.209999      33.712002
       2.800000        28.211000      33.713001
       3.800000        28.211000      33.713001
       4.700000        28.212999      33.713001
       5.800000        28.212999      33.716000
       6.800000        28.215000      33.715000
       7.900000        28.212999      33.716000
       8.900000        28.212999      33.715000
       9.900000        28.212999      33.715000
      15.700000        28.216000      33.716000
      25.799999        28.226999      33.730000
      35.000000        28.332001      33.896999
      45.400002        28.344999      33.993999
      55.900002        28.332001      34.029999
      65.500000        28.200001      34.006001
      75.400002        28.076000      33.980000
      85.699997        27.993999      33.960999
      95.599998        27.504999      33.824001
     105.800003        26.452999      33.651001
     115.699997        25.792999      33.719002
     125.000000        25.024000      34.201000
     135.199997        22.219000      34.787998
     145.100006        20.971001      34.845001
     155.100006        20.173000      34.889000
     165.600006        19.438999      34.910999
     175.699997        18.759001      34.921001
     185.100006        18.007999      34.911999
     195.300003        16.993999      34.924999
     213.699997        16.011999      34.984001
