                         Date  Latitude  Longitude  Pressure(dbar)  Temperature(°C)  Salinity(PSU)
2025-01-05 20:08:02.002157056  26.94225  -26.59429      138.000000        20.025000      36.585999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      139.960007        19.993000      36.591999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      142.000000        19.886000      36.581001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      144.039993        19.796000      36.567001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      146.039993        19.694000      36.548000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      148.039993        19.638000      36.535999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      150.000000        19.594000      36.525002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      152.000000        19.431999      36.501999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      154.000000        19.341999      36.487999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      156.000000        19.312000      36.487000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      157.960007        19.292000      36.497002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      159.960007        19.094000      36.466000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      161.960007        19.021999      36.452000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      164.000000        19.024000      36.457001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      166.000000        18.927999      36.455002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      167.960007        18.862000      36.450001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      169.960007        18.841999      36.446999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      171.960007        18.761999      36.436001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      174.000000        18.658001      36.422001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      176.080002        18.546000      36.403000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      178.039993        18.506001      36.394001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      180.000000        18.364000      36.372002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      182.000000        18.261999      36.354000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      184.000000        18.166000      36.338001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      185.960007        18.068001      36.321999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      188.000000        18.011999      36.312000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      190.039993        17.930000      36.299000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      192.000000        17.863001      36.286999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      194.000000        17.787001      36.273998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      196.039993        17.739000      36.265999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      198.000000        17.691999      36.256001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      199.960007        17.618000      36.243000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      201.960007        17.582001      36.237000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      204.000000        17.524000      36.224998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      206.000000        17.483000      36.216999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      207.960007        17.424999      36.206001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      210.000000        17.316000      36.188000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      212.000000        17.287001      36.182999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      214.000000        17.256001      36.178001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      215.960007        17.216000      36.169998
2025-01-05 20:08:02.002157056  26.94225  -26.59429      218.000000        17.184000      36.164001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      220.000000        17.160999      36.159000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      222.039993        17.089001      36.146999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      224.000000        17.055000      36.140999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      225.960007        16.995001      36.132000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      228.000000        16.955000      36.125000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      230.039993        16.941000      36.122002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      232.000000        16.933001      36.118999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      234.000000        16.892000      36.111000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      236.000000        16.815001      36.097000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      238.000000        16.723000      36.082001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      240.000000        16.695999      36.076000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      241.960007        16.680000      36.073002
2025-01-05 20:08:02.002157056  26.94225  -26.59429      244.039993        16.672001      36.070999
2025-01-05 20:08:02.002157056  26.94225  -26.59429      246.000000        16.631001      36.067001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      248.000000        16.598000      36.061001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      250.039993        16.573999      36.056000
2025-01-05 20:08:02.002157056  26.94225  -26.59429      252.000000        16.514999      36.046001
2025-01-05 20:08:02.002157056  26.94225  -26.59429      253.960007        16.466999      36.036999
